reading_id,event_id,parameter_id,value_numeric,value_text
1,1,water_temp,14.36,
2,1,ph,7.77,
3,1,conductivity,260.0,
4,1,turbidity,0.76,
5,1,ambient_temp,25.8,
6,1,pressure,913.0,
7,1,humidity,47.7,
8,1,wind_speed,0.57,
9,1,weather_desc,,"Cloudy, no rain"
10,2,water_temp,13.9,
11,2,ph,8.24,
12,2,conductivity,260.0,
13,2,turbidity,0.61,
14,2,ambient_temp,19.6,
15,2,pressure,921.0,
16,2,humidity,59.3,
17,2,wind_speed,1.05,
18,2,weather_desc,,"Cloudy, no rain"
19,3,water_temp,17.0,
20,3,ph,8.28,
21,3,conductivity,261.0,
22,3,turbidity,1.18,
23,3,ambient_temp,28.8,
24,3,pressure,924.0,
25,3,humidity,34.6,
26,3,wind_speed,1.35,
27,3,weather_desc,,sunny 
28,4,water_temp,13.1,
29,4,ph,8.16,
30,4,conductivity,264.0,
31,4,turbidity,0.62,
32,4,ambient_temp,21.3,
33,4,pressure,921.9,
34,4,humidity,50.4,
35,4,wind_speed,0.3,
36,4,weather_desc,,sunny 
37,5,water_temp,9.5,
38,5,ph,8.12,
39,5,conductivity,269.0,
40,5,turbidity,1.73,
41,5,ambient_temp,11.2,
42,5,pressure,922.7,
43,5,humidity,71.0,
44,5,wind_speed,0.36,
45,5,weather_desc,,"Cloudy,foggy"
46,6,water_temp,8.0,
47,6,ph,8.24,
48,6,conductivity,254.0,
49,6,turbidity,2.16,
50,6,ambient_temp,10.1,
51,6,pressure,921.0,
52,6,humidity,72.0,
53,6,wind_speed,0.31,
54,6,weather_desc,,"Cloudy,foggy"
55,7,water_temp,6.5,
56,7,ph,8.1,
57,7,conductivity,227.0,
58,7,turbidity,14.2,
59,7,ambient_temp,10.0,
60,7,pressure,911.0,
61,7,humidity,77.5,
62,7,wind_speed,0.55,
63,7,weather_desc,,Cloudy
64,8,water_temp,2.0,
65,8,ph,8.16,
66,8,conductivity,241.0,
67,8,turbidity,1.3,
68,8,ambient_temp,1.0,
69,8,pressure,933.0,
70,8,humidity,62.0,
71,8,wind_speed,0.98,
72,8,weather_desc,,sunny 
73,9,water_temp,3.0,
74,9,ph,8.2,
75,9,conductivity,245.0,
76,9,turbidity,0.9,
77,9,ambient_temp,-1.0,
78,9,pressure,922.0,
79,9,humidity,72.8,
80,9,wind_speed,0.26,
81,9,weather_desc,,foggy
82,10,water_temp,3.0,
83,10,ph,8.15,
84,10,conductivity,226.0,
85,10,turbidity,2.51,
86,10,ambient_temp,3.0,
87,10,pressure,926.6,
88,10,humidity,52.0,
89,10,wind_speed,0.38,
90,10,weather_desc,,foggy
91,11,water_temp,4.0,
92,11,ph,8.18,
93,11,conductivity,222.0,
94,11,turbidity,2.28,
95,11,ambient_temp,7.0,
96,11,pressure,910.0,
97,11,humidity,71.0,
98,11,wind_speed,0.44,
99,11,weather_desc,,"Cloudy, light rain"
100,12,water_temp,15.0,
101,12,ph,7.92,
102,12,conductivity,259.0,
103,12,turbidity,0.67,
104,12,ambient_temp,25.9,
105,12,pressure,914.0,
106,12,humidity,48.9,
107,12,wind_speed,0.47,
108,12,weather_desc,,"Cloudy, no rain"
109,13,water_temp,14.3,
110,13,ph,8.18,
111,13,conductivity,260.0,
112,13,turbidity,0.44,
113,13,ambient_temp,20.4,
114,13,pressure,924.0,
115,13,humidity,59.2,
116,13,wind_speed,0.2,
117,13,weather_desc,,"Cloudy, no rain"
118,14,water_temp,18.0,
119,14,ph,8.38,
120,14,conductivity,258.0,
121,14,turbidity,0.96,
122,14,ambient_temp,28.8,
123,14,pressure,927.0,
124,14,humidity,35.4,
125,14,wind_speed,0.46,
126,14,weather_desc,,sunny 
127,15,water_temp,13.7,
128,15,ph,8.27,
129,15,conductivity,260.0,
130,15,turbidity,0.52,
131,15,ambient_temp,22.7,
132,15,pressure,923.4,
133,15,humidity,41.7,
134,15,wind_speed,0.84,
135,15,weather_desc,,sunny 
136,16,water_temp,8.5,
137,16,ph,8.28,
138,16,conductivity,268.0,
139,16,turbidity,1.23,
140,16,ambient_temp,12.0,
141,16,pressure,925.7,
142,16,humidity,72.9,
143,16,wind_speed,0.13,
144,16,weather_desc,,"Cloudy,foggy"
145,17,water_temp,7.8,
146,17,ph,8.27,
147,17,conductivity,258.0,
148,17,turbidity,2.19,
149,17,ambient_temp,10.5,
150,17,pressure,925.0,
151,17,humidity,73.2,
152,17,wind_speed,0.33,
153,17,weather_desc,,"Cloudy,foggy"
154,18,water_temp,6.7,
155,18,ph,8.14,
156,18,conductivity,226.0,
157,18,turbidity,15.4,
158,18,ambient_temp,10.0,
159,18,pressure,914.0,
160,18,humidity,87.0,
161,18,wind_speed,0.57,
162,18,weather_desc,,Rain
163,19,water_temp,2.0,
164,19,ph,8.16,
165,19,conductivity,243.0,
166,19,turbidity,1.34,
167,19,ambient_temp,1.5,
168,19,pressure,934.0,
169,19,humidity,50.0,
170,19,wind_speed,0.99,
171,19,weather_desc,,sunny 
172,20,water_temp,3.0,
173,20,ph,8.24,
174,20,conductivity,250.0,
175,20,turbidity,1.01,
176,20,ambient_temp,0.0,
177,20,pressure,923.0,
178,20,humidity,69.0,
179,20,wind_speed,0.51,
180,20,weather_desc,,foggy
181,21,water_temp,3.5,
182,21,ph,8.14,
183,21,conductivity,230.0,
184,21,turbidity,3.12,
185,21,ambient_temp,3.0,
186,21,pressure,928.0,
187,21,humidity,69.0,
188,21,wind_speed,0.52,
189,21,weather_desc,,foggy
190,22,water_temp,4.0,
191,22,ph,8.28,
192,22,conductivity,226.0,
193,22,turbidity,2.67,
194,22,ambient_temp,8.0,
195,22,pressure,912.0,
196,22,humidity,74.0,
197,22,wind_speed,1.8,
198,22,weather_desc,,"Cloudy, light rain"
199,23,water_temp,15.9,
200,23,ph,8.51,
201,23,conductivity,671.0,
202,23,turbidity,2.0,
203,23,ambient_temp,25.4,
204,23,pressure,914.9,
205,23,humidity,51.1,
206,23,wind_speed,0.28,
207,23,weather_desc,,"Cloudy, no rain"
208,24,water_temp,13.4,
209,24,ph,8.18,
210,24,conductivity,677.0,
211,24,turbidity,1.1,
212,24,ambient_temp,24.5,
213,24,pressure,923.0,
214,24,humidity,47.1,
215,24,wind_speed,0.93,
216,24,weather_desc,,"Cloudy, no rain"
217,25,water_temp,18.6,
218,25,ph,8.76,
219,25,conductivity,658.0,
220,25,turbidity,0.99,
221,25,ambient_temp,31.0,
222,25,pressure,928.0,
223,25,humidity,30.5,
224,25,wind_speed,0.08,
225,25,weather_desc,,sunny 
226,26,water_temp,14.8,
227,26,ph,8.58,
228,26,conductivity,661.0,
229,26,turbidity,1.4,
230,26,ambient_temp,27.0,
231,26,pressure,924.0,
232,26,humidity,34.5,
233,26,wind_speed,0.54,
234,26,weather_desc,,sunny 
235,27,water_temp,8.0,
236,27,ph,8.25,
237,27,conductivity,531.0,
238,27,turbidity,2.03,
239,27,ambient_temp,9.6,
240,27,pressure,925.6,
241,27,humidity,80.5,
242,27,wind_speed,0.21,
243,27,weather_desc,,"Cloudy,foggy"
244,28,water_temp,6.5,
245,28,ph,8.22,
246,28,conductivity,484.0,
247,28,turbidity,3.16,
248,28,ambient_temp,10.2,
249,28,pressure,925.0,
250,28,humidity,74.0,
251,28,wind_speed,0.28,
252,28,weather_desc,,"Cloudy,foggy"
253,29,water_temp,7.0,
254,29,ph,7.95,
255,29,conductivity,279.0,
256,29,turbidity,23.7,
257,29,ambient_temp,10.0,
258,29,pressure,914.0,
259,29,humidity,87.0,
260,29,wind_speed,0.6,
261,29,weather_desc,,Rain
262,30,water_temp,1.5,
263,30,ph,8.05,
264,30,conductivity,406.0,
265,30,turbidity,11.4,
266,30,ambient_temp,1.0,
267,30,pressure,934.0,
268,30,humidity,56.0,
269,30,wind_speed,1.02,
270,30,weather_desc,,sunny 
271,31,water_temp,2.0,
272,31,ph,8.2,
273,31,conductivity,458.0,
274,31,turbidity,7.3,
275,31,ambient_temp,2.0,
